TF,TG,Score
FOSB,PRSS23,2607.94
ATF3,EVA1C,2607.35
AR,PHYHD1,2601.27
PGR,PRSS23,2599.16
IRF1,COL14A1,2598.92
PGR,TSPAN2,2595.27
AR,STON1,2593.82
AR,ARMC9,2593.61
PRRX1,CALD1,2593.38
MEIS2,SFRP4,2591.33
EGR1,RRAGD,2591.09
GATA6,ZYX,2586.73
GATA6,CDK4,2583.82
MITF,RRAGD,2582.48
